Infinitive,заика́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заика́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заика́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заика́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заика́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заика́юсь
2nd Sing,заика́ешься
3rd Sing,заика́ется
1st Pl,заика́емся
2nd Pl,заика́етесь
3rd Pl,заика́ются
Past M,заика́лся
Past F,заика́лась
Past N,заика́лось
Past PL,заика́лись
Imp S,заика́йся
Imp PL,заика́йтесь
