Infinitive,запрети́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запрети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запрещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запрети́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запрети́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запрещу́
2nd Sing,запрети́шь
3rd Sing,запрети́т
1st Pl,запрети́м
2nd Pl,запрети́те
3rd Pl,запретя́т
Past M,запрети́л
Past F,запрети́ла
Past N,запрети́ло
Past PL,запрети́ли
Imp S,запрети́
Imp PL,запрети́те
