Infinitive,занести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,занёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,занесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,занеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,занёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,занесу́
2nd Sing,занесёшь
3rd Sing,занесёт
1st Pl,занесём
2nd Pl,занесёте
3rd Pl,занесу́т
Past M,занёс
Past F,занесла́
Past N,занесло́
Past PL,занесли́
Imp S,занеси́
Imp PL,занеси́те
