Infinitive,застрели́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,застрели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застрели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,застрелю́сь
2nd Sing,застре́лишься
3rd Sing,застре́лится
1st Pl,застре́лимся
2nd Pl,застре́литесь
3rd Pl,застре́лятся
Past M,застрели́лся
Past F,застрели́лась
Past N,застрели́лось
Past PL,застрели́лись
Imp S,застрели́сь
Imp PL,застрели́тесь
