Infinitive,завле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,завлеку́
2nd Sing,завлечёшь
3rd Sing,завлечёт
1st Pl,завлечём
2nd Pl,завлечёте
3rd Pl,завлеку́т
Past M,завлёк
Past F,завлекла́
Past N,завлекло́
Past PL,завлекли́
Imp S,завлеки́
Imp PL,завлеки́те
