Infinitive,загора́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,загора́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,загора́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загора́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,загора́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загора́юсь
2nd Sing,загора́ешься
3rd Sing,загора́ется
1st Pl,загора́емся
2nd Pl,загора́етесь
3rd Pl,загора́ются
Past M,загора́лся
Past F,загора́лась
Past N,загора́лось
Past PL,загора́лись
Imp S,загора́йся
Imp PL,загора́йтесь
