Infinitive,замара́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замара́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зама́ранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замара́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замара́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замара́ю
2nd Sing,замара́ешь
3rd Sing,замара́ет
1st Pl,замара́ем
2nd Pl,замара́ете
3rd Pl,замара́ют
Past M,замара́л
Past F,замара́ла
Past N,замара́ло
Past PL,замара́ли
Imp S,замара́й
Imp PL,замара́йте
