Infinitive,застря́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,застря́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застря́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,застря́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,застря́ну
2nd Sing,застря́нешь
3rd Sing,застря́нет
1st Pl,застря́нем
2nd Pl,застря́нете
3rd Pl,застря́нут
Past M,застря́л
Past F,застря́ла
Past N,застря́ло
Past PL,застря́ли
Imp S,застря́нь
Imp PL,застря́ньте
