Infinitive,зака́нчивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зака́нчивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́нчивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зака́нчиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зака́нчивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зака́нчивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зака́нчивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зака́нчиваю
2nd Sing,зака́нчиваешь
3rd Sing,зака́нчивает
1st Pl,зака́нчиваем
2nd Pl,зака́нчиваете
3rd Pl,зака́нчивают
Past M,зака́нчивал
Past F,зака́нчивала
Past N,зака́нчивало
Past PL,зака́нчивали
Imp S,зака́нчивай
Imp PL,зака́нчивайте
