Infinitive,заслужи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заслужи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заслу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заслужи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заслужи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заслужу́
2nd Sing,заслу́жишь
3rd Sing,заслу́жит
1st Pl,заслу́жим
2nd Pl,заслу́жите
3rd Pl,заслу́жат
Past M,заслужи́л
Past F,заслужи́ла
Past N,заслужи́ло
Past PL,заслужи́ли
Imp S,заслужи́
Imp PL,заслужи́те
