Infinitive,затолка́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затолка́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зато́лканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затолка́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затолка́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затолка́ю
2nd Sing,затолка́ешь
3rd Sing,затолка́ет
1st Pl,затолка́ем
2nd Pl,затолка́ете
3rd Pl,затолка́ют
Past M,затолка́л
Past F,затолка́ла
Past N,затолка́ло
Past PL,затолка́ли
Imp S,затолка́й
Imp PL,затолка́йте
