Infinitive,застрева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,застрева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,застрева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застрева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,застрева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,застрева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,застрева́ю
2nd Sing,застрева́ешь
3rd Sing,застрева́ет
1st Pl,застрева́ем
2nd Pl,застрева́ете
3rd Pl,застрева́ют
Past M,застрева́л
Past F,застрева́ла
Past N,застрева́ло
Past PL,застрева́ли
Imp S,застрева́й
Imp PL,застрева́йте
