Infinitive,зацвести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зацве́тший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,зацвётший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зацве́тши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зацвётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зацвету́
2nd Sing,зацветёшь
3rd Sing,зацветёт
1st Pl,зацветём
2nd Pl,зацветёте
3rd Pl,зацвету́т
Past M,зацвёл
Past F,зацвела́
Past N,зацвело́
Past PL,зацвели́
Imp S,зацвети́
Imp PL,зацвети́те
