Infinitive,зашепта́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зашепта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашёптанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зашепта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зашепта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашепчу́
2nd Sing,заше́пчешь
3rd Sing,заше́пчет
1st Pl,заше́пчем
2nd Pl,заше́пчете
3rd Pl,заше́пчут
Past M,зашепта́л
Past F,зашепта́ла
Past N,зашепта́ло
Past PL,зашепта́ли
Imp S,зашепчи́
Imp PL,зашепчи́те
