Infinitive,затеря́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затеря́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затеря́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затеря́юсь
2nd Sing,затеря́ешься
3rd Sing,затеря́ется
1st Pl,затеря́емся
2nd Pl,затеря́етесь
3rd Pl,затеря́ются
Past M,затеря́лся
Past F,затеря́лась
Past N,затеря́лось
Past PL,затеря́лись
Imp S,затеря́йся
Imp PL,затеря́йтесь
