Infinitive,заледене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заледене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заледене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заледене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заледене́ю
2nd Sing,заледене́ешь
3rd Sing,заледене́ет
1st Pl,заледене́ем
2nd Pl,заледене́ете
3rd Pl,заледене́ют
Past M,заледене́л
Past F,заледене́ла
Past N,заледене́ло
Past PL,заледене́ли
Imp S,заледене́й
Imp PL,заледене́йте
