Infinitive,загиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,загиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,загиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,загиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загиба́юсь
2nd Sing,загиба́ешься
3rd Sing,загиба́ется
1st Pl,загиба́емся
2nd Pl,загиба́етесь
3rd Pl,загиба́ются
Past M,загиба́лся
Past F,загиба́лась
Past N,загиба́лось
Past PL,загиба́лись
Imp S,загиба́йся
Imp PL,загиба́йтесь
