Infinitive,затверде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,затверде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затверде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,затверде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,затверде́ю
2nd Sing,затверде́ешь
3rd Sing,затверде́ет
1st Pl,затверде́ем
2nd Pl,затверде́ете
3rd Pl,затверде́ют
Past M,затверде́л
Past F,затверде́ла
Past N,затверде́ло
Past PL,затверде́ли
Imp S,затверде́й
Imp PL,затверде́йте
