Infinitive,загуби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загуби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загу́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загуби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загуби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загублю́
2nd Sing,загу́бишь
3rd Sing,загу́бит
1st Pl,загу́бим
2nd Pl,загу́бите
3rd Pl,загу́бят
Past M,загуби́л
Past F,загуби́ла
Past N,загуби́ло
Past PL,загуби́ли
Imp S,загуби́
Imp PL,загуби́те
