Infinitive,зарази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зарази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заражу́сь
2nd Sing,зарази́шься
3rd Sing,зарази́тся
1st Pl,зарази́мся
2nd Pl,зарази́тесь
3rd Pl,заразя́тся
Past M,зарази́лся
Past F,зарази́лась
Past N,зарази́лось
Past PL,зарази́лись
Imp S,зарази́сь
Imp PL,зарази́тесь
