Infinitive,зажму́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зажму́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажму́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зажму́рюсь
2nd Sing,зажму́ришься
3rd Sing,зажму́рится
1st Pl,зажму́римся
2nd Pl,зажму́ритесь
3rd Pl,зажму́рятся
Past M,зажму́рился
Past F,зажму́рилась
Past N,зажму́рилось
Past PL,зажму́рились
Imp S,зажму́рься
Imp PL,зажму́рьтесь
