Infinitive,запина́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запина́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запина́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запина́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запина́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запина́юсь
2nd Sing,запина́ешься
3rd Sing,запина́ется
1st Pl,запина́емся
2nd Pl,запина́етесь
3rd Pl,запина́ются
Past M,запина́лся
Past F,запина́лась
Past N,запина́лось
Past PL,запина́лись
Imp S,запина́йся
Imp PL,запина́йтесь
