Infinitive,записа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,записа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,записа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запишу́сь
2nd Sing,запи́шешься
3rd Sing,запи́шется
1st Pl,запи́шемся
2nd Pl,запи́шетесь
3rd Pl,запи́шутся
Past M,записа́лся
Past F,записа́лась
Past N,записа́лось
Past PL,записа́лись
Imp S,запиши́сь
Imp PL,запиши́тесь
