Infinitive,зака́пывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зака́пывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́пывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зака́пываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зака́пывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зака́пывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зака́пывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зака́пываю
2nd Sing,зака́пываешь
3rd Sing,зака́пывает
1st Pl,зака́пываем
2nd Pl,зака́пываете
3rd Pl,зака́пывают
Past M,зака́пывал
Past F,зака́пывала
Past N,зака́пывало
Past PL,зака́пывали
Imp S,зака́пывай
Imp PL,зака́пывайте
