Infinitive,зала́диться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зала́дившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зала́дившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зала́жусь
2nd Sing,зала́дишься
3rd Sing,зала́дится
1st Pl,зала́димся
2nd Pl,зала́дитесь
3rd Pl,зала́дятся
Past M,зала́дился
Past F,зала́дилась
Past N,зала́дилось
Past PL,зала́дились
Imp S,зала́дься
Imp PL,зала́дьтесь
