Infinitive,задержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задержу́
2nd Sing,заде́ржишь
3rd Sing,заде́ржит
1st Pl,заде́ржим
2nd Pl,заде́ржите
3rd Pl,заде́ржат
Past M,задержа́л
Past F,задержа́ла
Past N,задержа́ло
Past PL,задержа́ли
Imp S,задержи́
Imp PL,задержи́те
