Infinitive,замо́лкнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замо́лкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,замо́лкнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замо́лкнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замо́лкши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замо́лкну
2nd Sing,замо́лкнешь
3rd Sing,замо́лкнет
1st Pl,замо́лкнем
2nd Pl,замо́лкнете
3rd Pl,замо́лкнут
Past M,замо́лк
Past F,замо́лкла
Past N,замо́лкло
Past PL,замо́лкли
Imp S,замо́лкни
Imp PL,замо́лкните
