Infinitive,запятна́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запятна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запя́тнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запятна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запятна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запятна́ю
2nd Sing,запятна́ешь
3rd Sing,запятна́ет
1st Pl,запятна́ем
2nd Pl,запятна́ете
3rd Pl,запятна́ют
Past M,запятна́л
Past F,запятна́ла
Past N,запятна́ло
Past PL,запятна́ли
Imp S,запятна́й
Imp PL,запятна́йте
