Infinitive,загипнотизи́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загипнотизи́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загипнотизи́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загипнотизи́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загипнотизи́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загипнотизи́рую
2nd Sing,загипнотизи́руешь
3rd Sing,загипнотизи́рует
1st Pl,загипнотизи́руем
2nd Pl,загипнотизи́руете
3rd Pl,загипнотизи́руют
Past M,загипнотизи́ровал
Past F,загипнотизи́ровала
Past N,загипнотизи́ровало
Past PL,загипнотизи́ровали
Imp S,загипнотизи́руй
Imp PL,загипнотизи́руйте
