Infinitive,завя́нуть
Zaliznyak Class,3°a⑥
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,завя́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завя́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,завя́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,завя́ну
2nd Sing,завя́нешь
3rd Sing,завя́нет
1st Pl,завя́нем
2nd Pl,завя́нете
3rd Pl,завя́нут
Past M,завя́л
Past F,завя́ла
Past N,завя́ло
Past PL,завя́ли
Imp S,завя́нь
Imp PL,завя́ньте
