Infinitive,запла́кать
Zaliznyak Class,6a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запла́кавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запла́кав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запла́кавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запла́чу
2nd Sing,запла́чешь
3rd Sing,запла́чет
1st Pl,запла́чем
2nd Pl,запла́чете
3rd Pl,запла́чут
Past M,запла́кал
Past F,запла́кала
Past N,запла́кало
Past PL,запла́кали
Imp S,запла́чь
Imp PL,запла́чьте
