Infinitive,загля́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загля́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,загля́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загля́дывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,загля́дывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,загля́дывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,загля́дываю
2nd Sing,загля́дываешь
3rd Sing,загля́дывает
1st Pl,загля́дываем
2nd Pl,загля́дываете
3rd Pl,загля́дывают
Past M,загля́дывал
Past F,загля́дывала
Past N,загля́дывало
Past PL,загля́дывали
Imp S,загля́дывай
Imp PL,загля́дывайте
