Infinitive,заболева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заболева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заболева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заболева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заболева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,заболева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заболева́ю
2nd Sing,заболева́ешь
3rd Sing,заболева́ет
1st Pl,заболева́ем
2nd Pl,заболева́ете
3rd Pl,заболева́ют
Past M,заболева́л
Past F,заболева́ла
Past N,заболева́ло
Past PL,заболева́ли
Imp S,заболева́й
Imp PL,заболева́йте
