Infinitive,загото́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загото́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загото́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загото́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загото́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загото́влю
2nd Sing,загото́вишь
3rd Sing,загото́вит
1st Pl,загото́вим
2nd Pl,загото́вите
3rd Pl,загото́вят
Past M,загото́вил
Past F,загото́вила
Past N,загото́вило
Past PL,загото́вили
Imp S,загото́вь
Imp PL,загото́вьте
