Infinitive,завести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заве́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заве́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заведу́сь
2nd Sing,заведёшься
3rd Sing,заведётся
1st Pl,заведёмся
2nd Pl,заведётесь
3rd Pl,заведу́тся
Past M,завёлся
Past F,завела́сь
Past N,завело́сь
Past PL,завели́сь
Imp S,заведи́сь
Imp PL,заведи́тесь
