Infinitive,затиха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,затиха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,затиха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затиха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,затиха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,затиха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,затиха́ю
2nd Sing,затиха́ешь
3rd Sing,затиха́ет
1st Pl,затиха́ем
2nd Pl,затиха́ете
3rd Pl,затиха́ют
Past M,затиха́л
Past F,затиха́ла
Past N,затиха́ло
Past PL,затиха́ли
Imp S,затиха́й
Imp PL,затиха́йте
