Infinitive,заня́ть
Zaliznyak Class,14b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,займу́
2nd Sing,займёшь
3rd Sing,займёт
1st Pl,займём
2nd Pl,займёте
3rd Pl,займу́т
Past M,за́нял
Past F,заняла́
Past N,за́няло
Past PL,за́няли
Imp S,займи́
Imp PL,займи́те
