Infinitive,закружи́ться
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закружи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закружи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,закружу́сь
2nd Sing,закру́жишься
3rd Sing,закру́жится
1st Pl,закру́жимся
2nd Pl,закру́житесь
3rd Pl,закру́жатся
Past M,закружи́лся
Past F,закружи́лась
Past N,закружи́лось
Past PL,закружи́лись
Imp S,закружи́сь
Imp PL,закружи́тесь
