Infinitive,запо́мнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запо́мнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запо́мненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запо́мнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запо́мнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запо́мню
2nd Sing,запо́мнишь
3rd Sing,запо́мнит
1st Pl,запо́мним
2nd Pl,запо́мните
3rd Pl,запо́мнят
Past M,запо́мнил
Past F,запо́мнила
Past N,запо́мнило
Past PL,запо́мнили
Imp S,запо́мни
Imp PL,запо́мните
