Infinitive,зачи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зачи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зачи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зачи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зачи́тываюсь
2nd Sing,зачи́тываешься
3rd Sing,зачи́тывается
1st Pl,зачи́тываемся
2nd Pl,зачи́тываетесь
3rd Pl,зачи́тываются
Past M,зачи́тывался
Past F,зачи́тывалась
Past N,зачи́тывалось
Past PL,зачи́тывались
Imp S,зачи́тывайся
Imp PL,зачи́тывайтесь
