Infinitive,заверши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заверши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заверши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,завершу́сь
2nd Sing,заверши́шься
3rd Sing,заверши́тся
1st Pl,заверши́мся
2nd Pl,заверши́тесь
3rd Pl,заверша́тся
Past M,заверши́лся
Past F,заверши́лась
Past N,заверши́лось
Past PL,заверши́лись
Imp S,заверши́сь
Imp PL,заверши́тесь
