Infinitive,заши́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заши́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашью́
2nd Sing,зашьёшь
3rd Sing,зашьёт
1st Pl,зашьём
2nd Pl,зашьёте
3rd Pl,зашью́т
Past M,заши́л
Past F,заши́ла
Past N,заши́ло
Past PL,заши́ли
Imp S,заше́й
Imp PL,заше́йте
