Infinitive,защити́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,защити́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,защити́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,защищу́сь
2nd Sing,защити́шься
3rd Sing,защити́тся
1st Pl,защити́мся
2nd Pl,защити́тесь
3rd Pl,защитя́тся
Past M,защити́лся
Past F,защити́лась
Past N,защити́лось
Past PL,защити́лись
Imp S,защити́сь
Imp PL,защити́тесь
