Infinitive,заручи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заручи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заручи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заручу́сь
2nd Sing,заручи́шься
3rd Sing,заручи́тся
1st Pl,заручи́мся
2nd Pl,заручи́тесь
3rd Pl,заруча́тся
Past M,заручи́лся
Past F,заручи́лась
Past N,заручи́лось
Past PL,заручи́лись
Imp S,заручи́сь
Imp PL,заручи́тесь
