Infinitive,запры́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запры́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запры́гав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запры́гавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запры́гаю
2nd Sing,запры́гаешь
3rd Sing,запры́гает
1st Pl,запры́гаем
2nd Pl,запры́гаете
3rd Pl,запры́гают
Past M,запры́гал
Past F,запры́гала
Past N,запры́гало
Past PL,запры́гали
Imp S,запры́гай
Imp PL,запры́гайте
