Infinitive,затро́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затро́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затро́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затро́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затро́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затро́ну
2nd Sing,затро́нешь
3rd Sing,затро́нет
1st Pl,затро́нем
2nd Pl,затро́нете
3rd Pl,затро́нут
Past M,затро́нул
Past F,затро́нула
Past N,затро́нуло
Past PL,затро́нули
Imp S,затро́нь
Imp PL,затро́ньте
