Infinitive,замая́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замая́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замая́чив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,замая́чивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,замая́чу
2nd Sing,замая́чишь
3rd Sing,замая́чит
1st Pl,замая́чим
2nd Pl,замая́чите
3rd Pl,замая́чат
Past M,замая́чил
Past F,замая́чила
Past N,замая́чило
Past PL,замая́чили
Imp S,замая́чь
Imp PL,замая́чьте
