Infinitive,зажму́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зажму́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажму́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зажму́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зажму́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зажму́рю
2nd Sing,зажму́ришь
3rd Sing,зажму́рит
1st Pl,зажму́рим
2nd Pl,зажму́рите
3rd Pl,зажму́рят
Past M,зажму́рил
Past F,зажму́рила
Past N,зажму́рило
Past PL,зажму́рили
Imp S,зажму́рь
Imp PL,зажму́рьте
