Infinitive,запа́здывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запа́здывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запа́здывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запа́здывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запа́здывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,запа́здывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,запа́здываю
2nd Sing,запа́здываешь
3rd Sing,запа́здывает
1st Pl,запа́здываем
2nd Pl,запа́здываете
3rd Pl,запа́здывают
Past M,запа́здывал
Past F,запа́здывала
Past N,запа́здывало
Past PL,запа́здывали
Imp S,запа́здывай
Imp PL,запа́здывайте
