Infinitive,зазева́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зазева́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зазева́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зазева́юсь
2nd Sing,зазева́ешься
3rd Sing,зазева́ется
1st Pl,зазева́емся
2nd Pl,зазева́етесь
3rd Pl,зазева́ются
Past M,зазева́лся
Past F,зазева́лась
Past N,зазева́лось
Past PL,зазева́лись
Imp S,зазева́йся
Imp PL,зазева́йтесь
