Infinitive,заны́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заны́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заны́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заны́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зано́ю
2nd Sing,зано́ешь
3rd Sing,зано́ет
1st Pl,зано́ем
2nd Pl,зано́ете
3rd Pl,зано́ют
Past M,заны́л
Past F,заны́ла
Past N,заны́ло
Past PL,заны́ли
Imp S,зано́й
Imp PL,зано́йте
