Infinitive,заде́йствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заде́йствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заде́йствованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заде́йствовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заде́йствовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заде́йствую
2nd Sing,заде́йствуешь
3rd Sing,заде́йствует
1st Pl,заде́йствуем
2nd Pl,заде́йствуете
3rd Pl,заде́йствуют
Past M,заде́йствовал
Past F,заде́йствовала
Past N,заде́йствовало
Past PL,заде́йствовали
Imp S,заде́йствуй
Imp PL,заде́йствуйте
