Infinitive,запи́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запи́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запи́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запи́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запи́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,запи́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,запи́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,запи́хиваю
2nd Sing,запи́хиваешь
3rd Sing,запи́хивает
1st Pl,запи́хиваем
2nd Pl,запи́хиваете
3rd Pl,запи́хивают
Past M,запи́хивал
Past F,запи́хивала
Past N,запи́хивало
Past PL,запи́хивали
Imp S,запи́хивай
Imp PL,запи́хивайте
