Infinitive,загусте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загусте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загусте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загусте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загусте́ю
2nd Sing,загусте́ешь
3rd Sing,загусте́ет
1st Pl,загусте́ем
2nd Pl,загусте́ете
3rd Pl,загусте́ют
Past M,загусте́л
Past F,загусте́ла
Past N,загусте́ло
Past PL,загусте́ли
Imp S,загусте́й
Imp PL,загусте́йте
