Infinitive,засомнева́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,засомнева́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засомнева́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,засомнева́юсь
2nd Sing,засомнева́ешься
3rd Sing,засомнева́ется
1st Pl,засомнева́емся
2nd Pl,засомнева́етесь
3rd Pl,засомнева́ются
Past M,засомнева́лся
Past F,засомнева́лась
Past N,засомнева́лось
Past PL,засомнева́лись
Imp S,засомнева́йся
Imp PL,засомнева́йтесь
