Infinitive,засверка́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засверка́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засверка́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засверка́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,засверка́ю
2nd Sing,засверка́ешь
3rd Sing,засверка́ет
1st Pl,засверка́ем
2nd Pl,засверка́ете
3rd Pl,засверка́ют
Past M,засверка́л
Past F,засверка́ла
Past N,засверка́ло
Past PL,засверка́ли
Imp S,засверка́й
Imp PL,засверка́йте
