Infinitive,закрути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закрути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закру́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закрути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закрути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закручу́
2nd Sing,закру́тишь
3rd Sing,закру́тит
1st Pl,закру́тим
2nd Pl,закру́тите
3rd Pl,закру́тят
Past M,закрути́л
Past F,закрути́ла
Past N,закрути́ло
Past PL,закрути́ли
Imp S,закрути́
Imp PL,закрути́те
