Infinitive,забыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,забыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,забыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,забыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забыва́юсь
2nd Sing,забыва́ешься
3rd Sing,забыва́ется
1st Pl,забыва́емся
2nd Pl,забыва́етесь
3rd Pl,забыва́ются
Past M,забыва́лся
Past F,забыва́лась
Past N,забыва́лось
Past PL,забыва́лись
Imp S,забыва́йся
Imp PL,забыва́йтесь
