Infinitive,забежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забегу́
2nd Sing,забежи́шь
3rd Sing,забежи́т
1st Pl,забежи́м
2nd Pl,забежи́те
3rd Pl,забегу́т
Past M,забежа́л
Past F,забежа́ла
Past N,забежа́ло
Past PL,забежа́ли
Imp S,забеги́
Imp PL,забеги́те
