Infinitive,зашага́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зашага́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашага́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зашага́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зашага́ю
2nd Sing,зашага́ешь
3rd Sing,зашага́ет
1st Pl,зашага́ем
2nd Pl,зашага́ете
3rd Pl,зашага́ют
Past M,зашага́л
Past F,зашага́ла
Past N,зашага́ло
Past PL,зашага́ли
Imp S,зашага́й
Imp PL,зашага́йте
