Infinitive,завереща́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,завереща́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завереща́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,завереща́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заверещу́
2nd Sing,заверещи́шь
3rd Sing,заверещи́т
1st Pl,заверещи́м
2nd Pl,заверещи́те
3rd Pl,завереща́т
Past M,завереща́л
Past F,завереща́ла
Past N,завереща́ло
Past PL,завереща́ли
Imp S,заверещи́
Imp PL,заверещи́те
