Infinitive,залата́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,залата́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зала́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,залата́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,залата́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,залата́ю
2nd Sing,залата́ешь
3rd Sing,залата́ет
1st Pl,залата́ем
2nd Pl,залата́ете
3rd Pl,залата́ют
Past M,залата́л
Past F,залата́ла
Past N,залата́ло
Past PL,залата́ли
Imp S,залата́й
Imp PL,залата́йте
