Infinitive,закипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,закипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,закипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,закиплю́
2nd Sing,закипи́шь
3rd Sing,закипи́т
1st Pl,закипи́м
2nd Pl,закипи́те
3rd Pl,закипя́т
Past M,закипе́л
Past F,закипе́ла
Past N,закипе́ло
Past PL,закипе́ли
Imp S,закипи́
Imp PL,закипи́те
