Infinitive,зашевели́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зашевели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашевели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зашевелю́сь
2nd Sing,зашевели́шься
3rd Sing,зашевели́тся
1st Pl,зашевели́мся
2nd Pl,зашевели́тесь
3rd Pl,зашевеля́тся
Past M,зашевели́лся
Past F,зашевели́лась
Past N,зашевели́лось
Past PL,зашевели́лись
Imp S,зашевели́сь
Imp PL,зашевели́тесь
